prefecture,city,latitude,longitude
Hokkaido,Sapporo,43.06431,141.346879
Aomori,Aomori,40.824589,140.740548
Iwate,Morioka,39.703526,141.152696
Miyagi,Sendai,38.268579,140.872072
Akita,Akita,39.718626,140.102381
Yamagata,Yamagata,38.240434,140.36369
Fukushima,Fukushima,37.750029,140.467771
Ibaraki,Mito,36.341737,140.446824
Tochigi,Utsunomiya,36.565912,139.883592
Gunma,Maebashi,36.390688,139.060453
Saitama,Saitama,35.857033,139.649012
Chiba,Chiba,35.60456,140.123154
Tokyo,Shinjuku,35.689501,139.691722
Kanagawa,Yokohama,35.447734,139.642537
Niigata,Niigata,37.902451,139.023245
Toyama,Toyama,36.695265,137.211305
Ishikawa,Kanazawa,36.594606,136.625669
Fukui,Fukui,36.065209,136.22172
Yamanashi,Kofu,35.664108,138.568455
Nagano,Nagano,36.651306,138.180904
Gifu,Gifu,35.391174,136.723657
Shizuoka,Shizuoka,34.976944,138.383056
Aichi,Nagoya,35.180209,136.906582
Mie,Tsu,34.730278,136.508611
Shiga,Otsu,35.004513,135.868568
Kyoto,Kyoto,35.021242,135.755613
Osaka,Osaka,34.686344,135.520037
Hyogo,Kobe,34.691257,135.183078
Nara,Nara,34.685274,135.832861
Wakayama,Wakayama,34.226111,135.1675
Tottori,Tottori,35.503449,134.238261
Shimane,Matsue,35.472293,133.05052
Okayama,Okayama,34.661739,133.935032
Hiroshima,Hiroshima,34.396558,132.459646
Yamaguchi,Yamaguchi,34.186041,131.470654
Tokushima,Tokushima,34.065761,134.559286
Kagawa,Takamatsu,34.340112,134.043291
Ehime,Matsuyama,33.841642,132.765682
Kochi,Kochi,33.559722,133.531111
Fukuoka,Fukuoka,33.606389,130.417968
Saga,Saga,33.249351,130.298792
Nagasaki,Nagasaki,32.75004,129.867251
Kumamoto,Kumamoto,32.7898,130.741584
Oita,Oita,33.23813,131.612645
Miyazaki,Miyazaki,31.911034,131.423887
Kagoshima,Kagoshima,31.560171,130.558025
Okinawa,Naha,26.212445,127.680922
