MPG,Cylinders,Displacement,Horsepower,Acceleration,Model Year,Origin,Weight Category
18.0,8,307.0,130.0,12.0,70,1,3
15.0,8,350.0,165.0,11.5,70,1,3
18.0,8,318.0,150.0,11.0,70,1,3
16.0,8,304.0,150.0,12.0,70,1,3
17.0,8,302.0,140.0,10.5,70,1,3
15.0,8,429.0,198.0,10.0,70,1,4
14.0,8,454.0,220.0,9.0,70,1,4
14.0,8,440.0,215.0,8.5,70,1,4
14.0,8,455.0,225.0,10.0,70,1,4
15.0,8,390.0,190.0,8.5,70,1,3
15.0,8,383.0,170.0,10.0,70,1,3
14.0,8,340.0,160.0,8.0,70,1,3
15.0,8,400.0,150.0,9.5,70,1,3
14.0,8,455.0,225.0,10.0,70,1,3
24.0,4,113.0,95.0,15.0,70,3,2
22.0,6,198.0,95.0,15.5,70,1,2
18.0,6,199.0,97.0,15.5,70,1,2
21.0,6,200.0,85.0,16.0,70,1,2
27.0,4,97.0,88.0,14.5,70,3,2
26.0,4,97.0,46.0,20.5,70,2,1
25.0,4,110.0,87.0,17.5,70,2,2
24.0,4,107.0,90.0,14.5,70,2,2
25.0,4,104.0,95.0,17.5,70,2,2
26.0,4,121.0,113.0,12.5,70,2,2
21.0,6,199.0,90.0,15.0,70,1,2
10.0,8,360.0,215.0,14.0,70,1,4
10.0,8,307.0,200.0,15.0,70,1,4
11.0,8,318.0,210.0,13.5,70,1,4
9.0,8,304.0,193.0,18.5,70,1,4
27.0,4,97.0,88.0,14.5,71,3,2
28.0,4,140.0,90.0,15.5,71,1,2
25.0,4,113.0,95.0,14.0,71,3,2
25.0,4,98.0,,19.0,71,1,2
19.0,6,232.0,100.0,13.0,71,1,2
16.0,6,225.0,105.0,15.5,71,1,3
17.0,6,250.0,100.0,15.5,71,1,3
19.0,6,250.0,88.0,15.5,71,1,3
18.0,6,232.0,100.0,15.5,71,1,3
14.0,8,350.0,165.0,12.0,71,1,4
14.0,8,400.0,175.0,11.5,71,1,4
14.0,8,351.0,153.0,13.5,71,1,4
14.0,8,318.0,150.0,13.0,71,1,4
12.0,8,383.0,180.0,11.5,71,1,4
13.0,8,400.0,170.0,12.0,71,1,4
13.0,8,400.0,175.0,12.0,71,1,4
18.0,6,258.0,110.0,13.5,71,1,2
22.0,4,140.0,72.0,19.0,71,1,2
19.0,6,250.0,100.0,15.0,71,1,3
18.0,6,250.0,88.0,14.5,71,1,3
23.0,4,122.0,86.0,14.0,71,1,2
28.0,4,116.0,90.0,14.0,71,2,2
30.0,4,79.0,70.0,19.5,71,2,2
30.0,4,88.0,76.0,14.5,71,2,2
31.0,4,71.0,65.0,19.0,71,3,1
35.0,4,72.0,69.0,18.0,71,3,1
27.0,4,97.0,60.0,19.0,71,2,1
26.0,4,91.0,70.0,20.5,71,1,1
24.0,4,113.0,95.0,15.5,72,3,2
25.0,4,97.5,80.0,17.0,72,1,2
23.0,4,97.0,54.0,23.5,72,2,2
20.0,4,140.0,90.0,19.5,72,1,2
21.0,4,122.0,86.0,16.5,72,1,2
13.0,8,350.0,165.0,12.0,72,1,4
14.0,8,400.0,175.0,12.0,72,1,4
15.0,8,318.0,150.0,13.5,72,1,4
14.0,8,351.0,153.0,13.0,72,1,4
17.0,8,304.0,150.0,11.5,72,1,3
11.0,8,429.0,208.0,11.0,72,1,4
13.0,8,350.0,155.0,13.5,72,1,4
12.0,8,350.0,160.0,13.5,72,1,4
13.0,8,400.0,190.0,12.5,72,1,4
19.0,3,70.0,97.0,13.5,72,3,2
15.0,8,304.0,150.0,12.5,72,1,3
13.0,8,307.0,130.0,14.0,72,1,4
13.0,8,302.0,140.0,16.0,72,1,4
14.0,8,318.0,150.0,14.0,72,1,4
18.0,4,121.0,112.0,14.5,72,2,2
22.0,4,121.0,76.0,18.0,72,2,2
21.0,4,120.0,87.0,19.5,72,2,2
26.0,4,96.0,69.0,18.0,72,2,2
22.0,4,122.0,86.0,16.0,72,1,2
28.0,4,97.0,92.0,17.0,72,3,2
23.0,4,120.0,97.0,14.5,72,3,2
28.0,4,98.0,80.0,15.0,72,1,2
27.0,4,97.0,88.0,16.5,72,3,2
13.0,8,350.0,175.0,13.0,73,1,4
14.0,8,304.0,150.0,11.5,73,1,3
13.0,8,350.0,145.0,13.0,73,1,3
14.0,8,302.0,137.0,14.5,73,1,4
15.0,8,318.0,150.0,12.5,73,1,3
12.0,8,429.0,198.0,11.5,73,1,4
13.0,8,400.0,150.0,12.0,73,1,4
13.0,8,351.0,158.0,13.0,73,1,4
14.0,8,318.0,150.0,14.5,73,1,4
13.0,8,440.0,215.0,11.0,73,1,4
12.0,8,455.0,225.0,11.0,73,1,4
13.0,8,360.0,175.0,11.0,73,1,3
18.0,6,225.0,105.0,16.5,73,1,3
16.0,6,250.0,100.0,18.0,73,1,3
18.0,6,232.0,100.0,16.0,73,1,2
18.0,6,250.0,88.0,16.5,73,1,3
23.0,6,198.0,95.0,16.0,73,1,2
26.0,4,97.0,46.0,21.0,73,2,1
11.0,8,400.0,150.0,14.0,73,1,4
12.0,8,400.0,167.0,12.5,73,1,4
13.0,8,360.0,170.0,13.0,73,1,4
12.0,8,350.0,180.0,12.5,73,1,4
18.0,6,232.0,100.0,15.0,73,1,2
20.0,4,97.0,88.0,19.0,73,3,2
21.0,4,140.0,72.0,19.5,73,1,2
22.0,4,108.0,94.0,16.5,73,3,2
18.0,3,70.0,90.0,13.5,73,3,2
19.0,4,122.0,85.0,18.5,73,1,2
21.0,6,155.0,107.0,14.0,73,1,2
26.0,4,98.0,90.0,15.5,73,2,2
15.0,8,350.0,145.0,13.0,73,1,4
16.0,8,400.0,230.0,9.5,73,1,4
29.0,4,68.0,49.0,19.5,73,2,1
24.0,4,116.0,75.0,15.5,73,2,2
20.0,4,114.0,91.0,14.0,73,2,2
19.0,4,121.0,112.0,15.5,73,2,2
15.0,8,318.0,150.0,11.0,73,1,3
24.0,4,121.0,110.0,14.0,73,2,2
20.0,6,156.0,122.0,13.5,73,3,2
11.0,8,350.0,180.0,11.0,73,1,3
20.0,6,198.0,95.0,16.5,74,1,3
21.0,6,200.0,,17.0,74,1,2
19.0,6,232.0,100.0,16.0,74,1,2
15.0,6,250.0,100.0,17.0,74,1,3
31.0,4,79.0,67.0,19.0,74,3,1
26.0,4,122.0,80.0,16.5,74,1,2
32.0,4,71.0,65.0,21.0,74,3,1
25.0,4,140.0,75.0,17.0,74,1,2
16.0,6,250.0,100.0,17.0,74,1,3
16.0,6,258.0,110.0,18.0,74,1,3
18.0,6,225.0,105.0,16.5,74,1,3
16.0,8,302.0,140.0,14.0,74,1,4
13.0,8,350.0,150.0,14.5,74,1,4
14.0,8,318.0,150.0,13.5,74,1,4
14.0,8,302.0,140.0,16.0,74,1,4
14.0,8,304.0,150.0,15.5,74,1,4
29.0,4,98.0,83.0,16.5,74,2,2
